编号,sku,地区,仓库,可视组,图片,中文名称,包材sku,产品类别,产品品类,采购链接,规格,箱子规格,最小订购量,体积,重量,体积重,本期采购价,国内运费,国际运费,供应链产品报价,仓库操作费,合作商最低售价外币,合作商活动最低售价外币,市场报价人,预估低售毛利,预估平台佣金(CNY),套餐,关键词,主推方向,产品素材包,产品状态,已上架店铺,私有,最近调价,SKU评分,隐藏,标签,创建日期,更新日期,是否为新品,是否上架店铺,店铺
"5516","697JLYF006670","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON维 C 美白皂","","自主品牌","日化品","自主品牌","100g","144","5000","0.0003289","0","0","3.75","0.30","0.56","4.61","4.00","Shopee：170.00Lazada：170.00","Shopee：160.00Lazada：160.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：25.7Lazada：25.7","2.00","","美白皂 สบู่ผิวขาว 私处美白皂 สบู่ล้างจุดซ่อนเร้นขาว 全身美白皂 สบู่ล้างผิวกายขาว","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-31 17:44:51","2025-06-10 16:06:31","undefined","undefined","undefined"
"5515","697JLYF006667","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON维生素 E 滋养滋润霜","","自主品牌","日化品","自主品牌","300g","48","5000","0.000853125","0","0","5.90","0.30","1.45","7.65","4.00","Shopee：190.00Lazada：190.00","Shopee：180.00Lazada：180.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：26.93Lazada：26.93","2.00","","维E滋养霜 ครีมทาผิวสูตรวิตามิน E 滋润保湿 ให้ความชุ่มชื้น 防干裂 ป้องกันผิวแห้งแตก","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-31 17:44:51","2025-06-10 16:06:31","undefined","undefined","undefined"
"5514","697JLYF006666","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON维生素 E 滋养身体乳","","自主品牌","日化品","自主品牌","400ml","36","10000","0.0015849166666667","0","0","6.45","0.30","2.69","9.44","4.00","Shopee：220.00Lazada：220.00","Shopee：210.00Lazada：210.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：31.55Lazada：31.55","2.00","","维E身体乳 โลชั่นทาตัวสูตรวิตามิน E 滋润保湿 ให้ความชุ่มชื้น 防干裂 ป้องกันผิวแห้งแตก","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-31 17:44:51","2025-06-10 16:06:31","undefined","undefined","undefined"
"5298","697JLYF006669","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON维生素E滋养柔软洁净磨砂膏","","自主品牌","日化品","自主品牌","250g","72","5000","0.00092155555555556","0","0","6.05","0.30","1.57","7.92","4.00","Shopee：210.00Lazada：210.00","Shopee：200.00Lazada：200.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：30.93Lazada：30.93","2.00","","去角质磨砂膏 สครับผลัดเซลล์ผิว 减少鸡皮 ลดตุ่มหนังไก่ 抗氧化 ต่อต้านอนุมูลอิสระ","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-06 10:04:35","2025-06-10 16:06:32","undefined","undefined","undefined"
"5297","697JLYF006655","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON烟酰胺美白修复精华液","","自主品牌","日化品","自主品牌","30ml","144","5000","0.00026519097222222","0","0","1.80","0.30","0.45","2.55","4.00","Shopee：190.00Lazada：190.00","Shopee：180.00Lazada：180.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：32.03Lazada：32.03","2.00","","美白精华液 เชรั่มทาผิวขาว 美白祛斑 ลดฝ้าทาผิวขาว 提亮肤色 ปรับให้สีผิวกระจ่างใส","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-06 10:04:35","2025-06-10 16:06:32","undefined","undefined","undefined"
"5296","697JLYF006661","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON胶原蛋白抗皱眼霜","","自主品牌","日化品","自主品牌","20g","288","5000","0.0001625","0","0","2.30","0.30","0.28","2.88","4.00","Shopee：190.00Lazada：160.00","Shopee：180.00Lazada：150.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：31.7Lazada：25.29","2.00","","胶原蛋白抗皱眼霜 อายครีมคอลลาเจนลดริ้วรอย 提拉紧致眼周 ยกกระชับผิวรอบตา 保湿滋润 ให้ความชุ่มชื้น","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-06 10:04:35","2025-06-10 16:06:32","undefined","undefined","undefined"
"5295","697JLYF006654","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON乳糖酸修复精华液","","自主品牌","日化品","自主品牌","30ml","144","5000","0.00026519097222222","0","0","1.80","0.30","0.45","2.55","4.00","Shopee：190.00Lazada：190.00","Shopee：180.00Lazada：180.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：32.03Lazada：32.03","2.00","","收缩毛孔精华 เซรั่มกระชับรูขุมขน 去黑头痘痘 ลอกสิวหัวดำลดสิว 去死皮细胞 ผลัดเซลล์ผิวตาย","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-06 10:04:35","2025-06-10 16:06:32","undefined","undefined","undefined"
"5294","697JLYF006659","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON胶原蛋白抗皱修复乳液","","自主品牌","日化品","自主品牌","80ml","72","5000","0.00060377777777778","0","0","7.75","0.30","1.03","9.08","4.00","Shopee：220.00Lazada：220.00","Shopee：210.00Lazada：210.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：31.91Lazada：31.91","2.00","","胶原蛋白抗皱 คอลลาเจนต่อต้านริ้วรอย 减少皱纹 ลดเลือนริ้วรอย 提拉紧致肌肤 ยกกระชับผิว","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-06 10:04:35","2025-06-10 16:06:32","undefined","undefined","undefined"
"5293","697JLYF006664","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON摩洛哥坚果油柔顺护发素","","自主品牌","日化品","自主品牌","500ml","36","10000","0.0016395166666667","0","0","5.93","0.30","2.79","9.02","4.00","Shopee：230.00Lazada：200.00","Shopee：220.00Lazada：190.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：34.11Lazada：27.7","2.00","","柔顺修护护发素 ครีมนวดผมดูแลให้ผมนุ่มสลวย 强韧头发 บำรุงให้ผมแข็งแรง 防断发脱发 ป้องกันผมแตกขาดผมร่วง","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-06 10:04:35","2025-06-10 16:06:32","undefined","undefined","undefined"
"5292","697JLYF006663","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON视黄醇精华眼部精华液","","自主品牌","日化品","自主品牌","30ml","144","5000","0.00025458333333333","0","0","3.75","0.30","0.43","4.48","4.00","Shopee：190.00Lazada：190.00","Shopee：180.00Lazada：180.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：30.1Lazada：30.1","2.00","","视黄醇眼部精华液 เรตินอลอายเซรั่ม 减少细纹 ลดเลือนริ้วรอย 去黑眼圈眼袋 ลดขอบตาดำถุงใต้ตา","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2024-08-06 10:04:35","2025-06-10 16:06:32","undefined","undefined","undefined"
