编号,sku,地区,仓库,可视组,图片,中文名称,包材sku,产品类别,产品品类,采购链接,规格,箱子规格,最小订购量,体积,重量,体积重,本期采购价,国内运费,国际运费,供应链产品报价,仓库操作费,合作商最低售价外币,合作商活动最低售价外币,市场报价人,预估低售毛利,预估平台佣金(CNY),套餐,关键词,主推方向,产品素材包,产品状态,已上架店铺,私有,最近调价,SKU评分,隐藏,标签,创建日期,更新日期,是否为新品,是否上架店铺,店铺
"7259","JLTH00612906 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","日本益生菌亮白牙粉","","通货","日化品","详情","日本益生菌亮白牙粉","300","300","0.0003342625","0","0","4.50","0.30","0.57","5.37","4.00","Shopee：199","Shopee：159","Shopee：涂守鸿Lazada：黄荣宽","Shopee：31.14","2.00","","","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7258","JLTH00612907 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","SADOER硫磺除螨沐浴露500ml","","通货","日化品","详情","SADOER硫磺除螨沐浴露500ml","36","36","0.0018785","0","0","4.10","0.99","3.19","8.28","4.00","Shopee：199","Shopee：179","Shopee：涂守鸿Lazada：黄荣宽","Shopee：28.23","2.00","","","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7257","JLTH00612914 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","脚爽喷剂30ml","","通货","日化品","详情","30ml","300","300","0.0003864","0","0","1.80","0.30","0.66","0.00","4.00","Shopee：179","Shopee：169","Shopee：涂守鸿Lazada：黄荣宽","Shopee：32.24","2.00","","","","暂无产品素材","清库存","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7256","JLTH00612912 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","薄荷口腔喷雾10ml（新）","","通货","日化品","详情","10ml（新）","192","192","0.0001555734375","0","0","3.10","0.32","0.26","3.68","4.00","Shopee：165","Shopee：145","Shopee：涂守鸿Lazada：黄荣宽","Shopee：25.56","2.00","","","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7255","JLTH00612909 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","坂枝野寻足跟痛外用药贴","","通货","日化品","详情","坂枝野寻足跟痛外用药贴","200","200","0.0006318","0","0","5.50","0.30","1.07","0.00","4.00","Shopee：189","Shopee：169","Shopee：涂守鸿Lazada：黄荣宽","Shopee：34.37","2.00","","","","暂无产品素材","清库存","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7254","JLTH00612908 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","儿童祛痱止痒膏","","通货","日化品","详情","儿童祛痱止痒膏","400","400","0.00028275","0","0","2.80","0.80","0.48","0.00","4.00","Shopee：190","Shopee：170","Shopee：涂守鸿Lazada：黄荣宽","Shopee：34.58","2.00","","","","暂无产品素材","清库存","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7253","JLTH00612913 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","抗皱眼部精华油10ml","","通货","日化品","详情","抗皱眼部精华油10ml","841","841","7.3125E-5","0","0","1.80","0.30","0.12","2.22","4.00","Shopee：188","Shopee：178","Shopee：涂守鸿Lazada：黄荣宽","Shopee：31.94","2.00","","","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7252","JLTH00612915 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","日本再生硅口腔抑菌牙膏 gleiser再生硅-100克","","通货","日化品","详情","日本再生硅口腔抑菌牙膏 gleiser再生硅-100克","72","72","0.00065065","0","0","2.00","0.64","1.11","3.75","4.00","Shopee：179","Shopee：169","Shopee：涂守鸿Lazada：黄荣宽","Shopee：28.49","2.00","","","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7251","JLTH00612911 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","柠檬去角质啫喱100ml","","通货","日化品","详情","柠檬去角质啫喱100ml","96","96","0.00056853333333333","0","0","4.24","0.70","0.97","5.91","4.00","Shopee：180","Shopee：170","Shopee：涂守鸿Lazada：黄荣宽","Shopee：26.54","2.00","","","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
"7250","JLTH00612910 新品","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","二硫化硒去屑洗发水","","通货","日化品","详情","二硫化硒去屑洗发水","60","60","0.0010313333333333","0","0","4.98","1.08","1.75","7.81","4.00","Shopee：210","Shopee：200","Shopee：涂守鸿Lazada：黄荣宽","Shopee：31.04","2.00","","","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-04-11 11:30:01","2025-06-10 16:02:32","undefined","undefined","undefined"
