编号,sku,地区,仓库,可视组,图片,中文名称,包材sku,产品类别,产品品类,采购链接,规格,箱子规格,最小订购量,体积,重量,体积重,本期采购价,国内运费,国际运费,供应链产品报价,仓库操作费,合作商最低售价外币,合作商活动最低售价外币,市场报价人,预估低售毛利,预估平台佣金(CNY),套餐,关键词,主推方向,产品素材包,产品状态,已上架店铺,私有,最近调价,SKU评分,隐藏,标签,创建日期,更新日期,是否为新品,是否上架店铺,店铺
"7432","121-JLID00-455 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","正彩脱毛慕斯+刮板","","通货","日化品","详情","150ml","96","96","0.000624","0","0","7.24","0.88","1.65","9.77","4.00","Shopee：109000Lazada：109000","Shopee：99000Lazada：99000","Shopee：涂守鸿Lazada：尧敏知","Shopee：30.54Lazada：30.54","2.00","","脱毛膏 Cream penghilang bulu  脱毛霜 Krim penghilang bulu 脱毛摩斯 Mousse hair remove 刮板 spatula","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-14 15:52:40","2025-06-10 16:02:32","undefined","undefined","undefined"
"7379","121-JLID00-456 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","蓝莓叶黄素滴眼液","","通货","日化品","详情","10ml","600","600","7.8E-5","0","0","3.50","0.30","0.21","4.01","4.00","Shopee：89000Lazada：89000","Shopee：79000Lazada：79000","Shopee：涂守鸿Lazada：尧敏知","Shopee：27.8Lazada：27.8","2.00","","滴眼液 Eye Drop  滴眼药 Obat Tetes Mata 白内障眼药 Obat Mata Katarak 眼干疼 Mata Kering Sakit  眼睛红血丝 Mata Darah Merah 眼睛疲劳 Ketegangan Mata  ","眼睛红 肿 血丝 眼斑等眼疾","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7378","121-JLID00-457 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","茉莉香氛花瓣沐浴露500ml","","通货","日化品","详情","500ml","35","35","0.001625","0","0","2.80","1.70","4.31","8.81","4.00","Shopee：99000Lazada：99000","Shopee：89000Lazada：89000","Shopee：涂守鸿Lazada：尧敏知","Shopee：27.25Lazada：27.25","2.00","","沐浴露 Body Wash  美白沐浴露 Body Wash pemutih  沐浴液 Sabun Mandi Cair 香氛沐浴露Body wash aroma parfum  花瓣沐浴露 Petal Shower Gel ","助眠 香氛 美白 持久留香","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7377","121-JLID00-475 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","臻羞氨基酸清肌水漾洁面乳120ml","","通货","日化品","详情","120ml","95","95","0.000572","0","0","3.50","0.44","1.52","5.46","4.00","Shopee：95000Lazada：95000","Shopee：85000Lazada：85000","Shopee：涂守鸿Lazada：尧敏知","Shopee：28.9Lazada：28.9","2.00","","洁面乳 pembersih wajah 美白洗面奶 pembersih wajah pemutih 洗面奶  Face Wash 活肤亮颜 Skin Energizing And Brightening ","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7376","121-JLID00-474 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","美白防晒喷雾抗皱多效隔离防晒霜","","通货","日化品","详情","90ml","136","136","0.0003328","0","0","7.50","0.30","0.88","8.68","4.00","Shopee：109000Lazada：109000","Shopee：99000Lazada：99000","Shopee：涂守鸿Lazada：尧敏知","Shopee：31.63Lazada：31.63","2.00","","防晒霜，Sunscreen 紫外线防晒霜，UV Sunscreen 防水防晒霜，Waterproof Sunscreen 美白防晒霜  Whitening Sunscreen","防晒 美白 隔离紫外线","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7375","121-JLID00-470 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","排尿酸型外用保健贴","","通货","日化品","详情","12贴","120","120","0.000819","0","0","5.50","0.30","2.17","7.97","4.00","Shopee：109000Lazada：109000","Shopee：99000Lazada：99000","Shopee：涂守鸿Lazada：尧敏知","Shopee：32.34Lazada：32.34","2.00","","尿酸贴koyo gout    痛风贴patch asam urat  缓解脚部疼痛贴Koyo Kaki Pereda Nyeri 腱鞘炎贴 koyo tendon tenosinovitis ","尿酸 痛风 手脚鼓包酸麻肿胀","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7374","121-JLID00-458 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","日本川井弘岩白色痛风保健膏35g","","通货","日化品","详情","白绿色35g","300","300","0.00024786666666667","0","0","5.50","1.40","0.66","7.56","4.00","Shopee：99000Lazada：99000","Shopee：89000Lazada：89000","Shopee：涂守鸿Lazada：尧敏知","Shopee：28.5Lazada：28.5","2.00","","痛风霜 Cream Treatment Gout 通风膏 salep  asam urat  关节骨骼护理 Joint & Bone Therapy 痛风药霜 Cream obat asam urat ","风湿 通风 手脚肿大","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7373","121-JLID00-459 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","泰国卧佛荨麻膏","","通货","日化品","详情","50g","200","200","0.00030739090909091","0","0","5.50","0.70","0.81","7.01","4.00","Shopee：99000Lazada：99000","Shopee：89000Lazada：89000","Shopee：涂守鸿Lazada：尧敏知","Shopee：29.05Lazada：29.05","2.00","","皮疹霜 Krim kurap kulit  抗菌止痒霜，Krim antibakteri 止痒霜，krim anti gatal 草药止痒霜，krim anti gatal herbal 湿疹霜，krim eksim 皮藓霜，krim dermatofitosis 牛皮藓霜 krim psoriasis  泰国抗痒霜 Thailand Anti-Itchy cream","荨麻疹 皮肤瘙痒 风块 风团","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7372","121-JLID00-465 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","Sumifun维E脂肪粒乳20维E护肤净脂肪粒","","通货","日化品","详情","20g","400","400","0.000272025","0","0","3.40","0.80","0.72","4.92","4.00","Shopee：89000Lazada：89000","Shopee：79000Lazada：79000","Shopee：涂守鸿Lazada：尧敏知","Shopee：26.89Lazada：26.89","2.00","","眼霜Krim mata 眼部脂肪粒霜 Krim milia mata  脂肪粒维e 乳霜 krim herbal vitamin E penghilang milia","眼部脂肪粒","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
"7371","121-JLID00-462 新品","印度尼西亚","印尼三仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","鼻炎鼻塞鼻痒喷雾","","通货","日化品","详情","30ml","200","200","0.0005221125","0","0","5.50","0.30","1.38","7.18","4.00","Shopee：97000Lazada：97000","Shopee：87000Lazada：87000","Shopee：涂守鸿Lazada：尧敏知","Shopee：28.04Lazada：28.04","2.00","","鼻炎喷剂 Semprotan Rhinitis 鼻窦炎喷剂 Spray Sinusitis 鼻窦炎 radang anak rongga hidung  鼻炎radang hidung 鼻炎药 Obat sinusitis","鼻炎 鼻痒 鼻塞 鼻腔肥大 肿块","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2025-05-05 16:45:49","2025-06-10 16:02:32","undefined","undefined","undefined"
